sublime-tabs@0.5.6,Store package style sheets in the `styles/` directory instead of `stylesheets/` in the `sublime-tabs` package,"May 20, 2015 - May 27, 2015",Linux users,320,190,0,0.00
sublime-tabs@0.5.6,The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.,"May 20, 2015 - May 27, 2015",Mac Users,"4,570","2,557",0,0.00
sublime-tabs@0.5.6,The context menu CSON format has changed. Please see https://atom.io/docs/api/latest/ContextMenuManager#context-menu-cson-format for more info.,"May 20, 2015 - May 27, 2015",Linux users,328,199,0,0.00
sublime-tabs@0.5.6,Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details,"May 20, 2015 - May 27, 2015",Mac Users,"4,562","2,549",0,0.00
sublime-tabs@0.5.6,Use a config schema instead. See the configuration section of https://atom.io/docs/latest/hacking-atom-package-word-count and https://atom.io/docs/api/latest/Config for more details,"May 20, 2015 - May 27, 2015",Linux users,328,199,0,0.00
sublime-tabs@0.5.6,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `""atom-space-pen-views"": ""^2.0.3""` to your package dependencies.","May 20, 2015 - May 27, 2015",Mac Users,"4,518","2,540",0,0.00
sublime-tabs@0.5.6,"Requiring `View` from `atom` is no longer supported. Please require `atom-space-pen-views` instead: `{View} = require 'atom-space-pen-views'` Add `""atom-space-pen-views"": ""^2.0.3""` to your package dependencies.","May 20, 2015 - May 27, 2015",Linux users,320,190,0,0.00
sublime-tabs@0.5.6,TextEditor::on is deprecated. Use documented event subscription methods instead.,"May 20, 2015 - May 27, 2015",Mac Users,"4,285","2,540",0,0.00
sublime-tabs@0.5.6,TextEditor::on is deprecated. Use documented event subscription methods instead.,"May 20, 2015 - May 27, 2015",Linux users,320,190,0,0.00
sublime-tabs@0.5.6,Use Pane::onDidAddItem instead,"May 20, 2015 - May 27, 2015",Mac Users,"4,518","2,540",0,0.00
sublime-tabs@0.5.6,Use Pane::onDidAddItem instead,"May 20, 2015 - May 27, 2015",Linux users,320,190,0,0.00
sublime-tabs@0.5.6,Use Pane::onDidChangeActiveItem instead,"May 20, 2015 - May 27, 2015",Mac Users,"4,518","2,540",0,0.00
sublime-tabs@0.5.6,Use Pane::onDidChangeActiveItem instead,"May 20, 2015 - May 27, 2015",Linux users,320,190,0,0.00
sublime-tabs@0.5.6,Use Pane::onDidDestroy instead,"May 20, 2015 - May 27, 2015",Mac Users,"4,518","2,540",0,0.00
sublime-tabs@0.5.6,Use Pane::onDidDestroy instead,"May 20, 2015 - May 27, 2015",Linux users,320,190,0,0.00
sublime-tabs@0.5.6,Use TextEditor::onDidChangeModified instead,"May 20, 2015 - May 27, 2015",Mac Users,"4,285","2,540",0,0.00
sublime-tabs@0.5.6,Use TextEditor::onDidChangeModified instead,"May 20, 2015 - May 27, 2015",Linux users,320,190,0,0.00
sublime-tabs@0.5.6,Use TextEditor::onDidChangeTitle instead,"May 20, 2015 - May 27, 2015",Mac Users,"4,276","2,540",0,0.00
sublime-tabs@0.5.6,Use TextEditor::onDidChangeTitle instead,"May 20, 2015 - May 27, 2015",Linux users,320,190,0,0.00
sublime-tabs@0.5.6,"atom.workspaceView is no longer available. In most cases you will not need the view. See the Workspace docs for alternatives: https://atom.io/docs/api/latest/Workspace. If you do need the view, please use `atom.views.getView(atom.workspace)`, which returns an HTMLElement.","May 20, 2015 - May 27, 2015",Mac Users,"4,518","2,531",0,0.00
